composite_name,latitude,longitude
Colorado > AM/PM Area,39.09605,-105.39322
Colorado > Air Force Academy,39.003651315789476,-104.91012605263158
"Colorado > Aircraft Carrier, The",39.4771,-106.3681
Colorado > Al Cap,39.7603,-105.683
Colorado > Alamosa Canyon aka Heavy Metal,37.3616,-106.26715
Colorado > Alderfer/Three Sisters Park,39.626291475409836,-105.35030524590164
Colorado > Almost A Tunnel,38.8811,-106.1485
Colorado > Alpenglow Satellite Wall,39.6071,-105.9196
"Colorado > Alpenglow Wall, The",39.60954,-105.91584
Colorado > Alpine Tunnel Palisades,38.62323,-106.39268
Colorado > Americus Wall,38.88037,-106.14607
"Colorado > Ameristar, The",39.80425,-105.50181
Colorado > Ames Wall,37.9392,-107.8163
Colorado > Animas Mountain,37.311996,-107.866435
Colorado > Apple Cider,40.03099,-106.44871
Colorado > Arapahoe Basin Area,39.64276,-105.87027
Colorado > Area 071,37.342942,-107.80139799999999
Colorado > Atomic Energy Bouldering,38.27615,-108.71788
Colorado > Atomic Energy Crag,38.2198,-108.5675
Colorado > Avery Peak,38.9851,-106.97751
Colorado > B-Lot Boulder,39.88428,-105.75849
Colorado > BLM Boulder,40.37256,-105.49579
Colorado > Badger Mountain,39.09698,-105.53172555555555
Colorado > Bang's Canyon,38.97815,-108.6322
"Colorado > Battlement Cliffs, The",39.42804,-107.9905
Colorado > Bear Creek,37.92055,-107.81476
"Colorado > Bear Creek Cave, The",39.6548,-105.195
Colorado > Beaver Beach,39.76691,-105.75128
Colorado > Below The Arch Crag,38.8388,-106.1329
Colorado > Berry Boulder,37.47494,-106.85759
Colorado > Berthoud Pass Summit,39.80114,-105.77735
Colorado > Best Summer Ever! Boulder,40.35207,-105.56496
Colorado > Bierstadt Ice,39.59229,-105.67245
Colorado > Big Gypsum - Dolores,38.117399999999996,-108.83854000000001
Colorado > Big Meadows,37.55419,-106.77866333333333
Colorado > Big Rock Candy Mountain,39.1314,-105.32229
Colorado > Big Thompson Canyon,40.42934714285714,-105.30609454545454
Colorado > Big Thompson Canyon Ice,40.4172,-105.3724
Colorado > Biglandia,40.5686,-105.077
Colorado > Bikini Bottom,39.6429,-106.379
Colorado > Bilk Creek Wall,37.94543,-107.88599
Colorado > Billy's Buttress,38.8388,-106.1329
Colorado > Birds and the Bees,39.54305,-105.17324
Colorado > Birthday Boulder,40.76188,-106.80335
Colorado > Black Canyon National Park (Ice),38.5388,-107.70155
Colorado > Black Canyon of the Gunnison,38.550712222222224,-107.65507777777778
Colorado > Black Hawk Ice,39.87654,-105.41917
Colorado > Blanco Basin Crags,37.26254,-106.75706
Colorado > Blodgett Peak,38.94783,-104.90114
Colorado > Blue Mesa (near Gunnison),38.4482,-107.3862
Colorado > Blue Mesa Inlet,38.5448,-106.928
Colorado > Bob's Rock,38.88407,-106.14983
Colorado > Bookcliffs,39.27489,-108.76141
Colorado > Boomer Block,39.94545,-105.34833
Colorado > Booth Creek Boulders,39.65608,-106.3186
Colorado > Bootlegger's Boulders,38.46986,-105.45141
Colorado > Bottom of the Staircase,38.67463,-106.04655
Colorado > Boulder Canyon,39.99999610526316,-105.39994884210527
Colorado > Boulder Canyon - Ice,39.990851666666664,-105.43082166666666
Colorado > Box Canyon,40.756,-106.8403
Colorado > Box Prarie Boulders and Climbs-Dragon Scales Rock,40.39755,-105.51766
Colorado > Breakfast Boulders,37.61649,-106.6727
Colorado > Brick Wall/Alcoves,39.566485,-106.126225
Colorado > Bridge Project,40.56448,-105.1022
Colorado > Brown's Canyon National Monument,38.6854,-106.03816
Colorado > Buchanan Creek,40.11144,-105.70595
Colorado > Buckskin Crags,38.47505875,-105.31870125
Colorado > Buena Vista,38.9936,-105.93
Colorado > Buffalo Creek,39.36655490196078,-105.26532470588236
Colorado > Buildering,38.5444,-106.9267
Colorado > Bullet Hole Boulder Area,39.04971928571428,-108.61191642857143
Colorado > Bullet Review Rock,38.8388,-106.1329
Colorado > Butcher Knife,40.48962,-106.82119
Colorado > Buzzsaw Dome,38.89405,-106.10638
Colorado > CO Hwy 7 & Tributaries,40.22664379310345,-105.47495431034483
Colorado > CSU campus,40.5731,-105.0891
"Colorado > Cache Wall, The",39.56147,-106.13202
Colorado > Camp Bird Mine Rd/Mountain Rescue Cache Crag,38.01584,-107.67129
Colorado > Camp Dick,40.13360222222222,-105.54985666666667
Colorado > Camp Hale,39.44287857142857,-106.3212257142857
Colorado > Capitol Peak,39.1503,-107.082
Colorado > Carpenter Ridge - Paradise Wall,38.38872,-108.90256
Colorado > Carter Lake,40.320254054054054,-105.21374297297297
Colorado > Cascade Canyon,37.65788666666666,-107.80948333333333
Colorado > Cast Iron Crag,37.26749,-107.0151
Colorado > Castle View Crags & Boulders,39.36554916666666,-105.38426083333333
"Colorado > Castles, The",38.737015,-107.167085
Colorado > Castlewood Canyon State Park - Ice,39.33,-104.73685
Colorado > Cat Lawyer Boulder,39.94676,-105.35031
Colorado > Cat's Claw Crag (C3),38.8481,-106.0602
"Colorado > Cataract Lake (Heeney, Colorado)",39.8283,-106.3263
Colorado > Cathedral Spires Area,39.41775176470588,-105.25814147058823
Colorado > Cecilville Slab aka Cecil Rock,39.33014,-106.21737
Colorado > Cement Creek,38.5448,-106.928
Colorado > Central Park Bouldering Area,39.7616,-104.8813
Colorado > Chalk Cliffs,39.36964,-106.19766
Colorado > Chalk Creek Canyon,38.716835,-106.28230500000001
Colorado > Chama Basin,37.09894,-106.55907
Colorado > Cheesman Canyon,39.22206,-105.26262
Colorado > Chief's Head,38.8388,-106.1329
Colorado > Chimneys of Treasure,39.02818,-107.11696
Colorado > Chipped Boulder,39.94555,-105.34712
Colorado > Chocolate Tower,38.87617,-106.14603
Colorado > Chris Park,37.515,-107.79333
Colorado > Christmas Crag,38.89867,-106.0917
Colorado > Chunder Dome,37.97603,-107.65895
Colorado > Cimarron Mountains,38.14073,-107.5361675
"Colorado > Cirque, The",38.02985,-108.09308
"Colorado > Citadel, The",39.7153,-105.9114
Colorado > Citradelica Rock,37.99986,-107.81567
Colorado > City of Boulder,40.00844909090909,-105.26590272727272
Colorado > Classy Cliff Area,39.12042,-106.70159
Colorado > Clay Creek Crag,38.16663,-108.23833
Colorado > Clear Creek Canyon,39.740920748299324,-105.34517836734693
Colorado > Clear Creek Canyon - Ice,39.74035875,-105.34555999999999
Colorado > Climbing Area 53,38.85273,-106.11749
Colorado > Climbing Area 54,38.84817,-106.10603
Colorado > Climbing Area 55,38.84697,-106.10383
Colorado > Climbing Area 56,38.85544,-106.12415
Colorado > Climbing Area 57,38.89503,-106.13998
Colorado > Climbing Area 58,38.86699,-106.14055
Colorado > Climbing Area 60,38.85651,-106.12355
Colorado > Climbing Area 61,38.85724,-106.12387
Colorado > Climbing Area 62,38.85627,-106.11735
Colorado > Climbing Area 63,38.85556,-106.11893
Colorado > Climbing Area 64,38.85901,-106.10896
Colorado > Coal Creek Boulders,39.1917825,-107.27736
Colorado > Coal Creek Canyon,38.9936,-105.93
Colorado > Coaldale,38.36163,-105.73279
Colorado > Colby's Corner (Ridgway),38.1787,-107.7619
Colorado > Colorado College,38.84699,-104.82541
Colorado > Colorado National Monument,39.07277363636364,-108.69746636363635
Colorado > Colorado National Monument (Ice),38.9936,-105.93
Colorado > Colorado School of Mines,39.75143,-105.22173
Colorado > Colorado Springs & vicinity,38.860395555555556,-104.92047555555556
Colorado > Columbine Crag,39.1264,-106.65853
Colorado > Compensation Crag,39.7603,-105.683
"Colorado > Correction Crag, The",39.78381,-105.62421
Colorado > Corridor Area,39.94932,-105.34998
Colorado > Cortez/Mesa Verde Area,37.341676666666665,-108.84948333333334
Colorado > Corwina Park Boulders,39.66091,-105.28404
Colorado > Cottontail Crag,40.32309,-105.57938
Colorado > Cottonwood Lake,38.78462,-106.28427
Colorado > Cougar,40.77054666666667,-106.80757
"Colorado > Cove, The",37.9392,-107.8163
Colorado > Creede/Spring Creek Pass,37.64726,-106.53782
Colorado > Crested Butte,38.86528,-106.98583
Colorado > Crestone,37.99296,-105.70015
Colorado > Cross Creek,39.54875,-106.41845
Colorado > Cross Mountain Canyon,40.47776,-108.3376
Colorado > Cross mountain Canyon,40.51894,-108.36494
Colorado > Crystal,39.05822,-107.09076
Colorado > Crystal Fortress,39.02396,-105.30554
Colorado > Cunningham Gulch,37.78792,-107.57626
Colorado > Curve Block,39.68095,-105.70238
Colorado > Curve Block Boulders,39.7107,-105.695
Colorado > DU Campus Bouldering/Buildering,39.677022,-104.963044
Colorado > Daniels Park,39.4171,-105.469
Colorado > Davis Face,38.91645,-106.10438
Colorado > Day Dream Crag,38.85518,-106.11139
Colorado > De Beque Canyon,39.18423571428571,-108.26826571428572
Colorado > Deadwood Gulch,37.78674,-107.66932
Colorado > Deckers,39.364024615384615,-105.1740776923077
Colorado > Deer Creek Canyon Boulder,39.54452,-105.16081
Colorado > Deer Creek Canyon Cave,39.5407,-105.1783
Colorado > Deer Creek Crag,39.53968,-105.18119
Colorado > Deer Mountain,40.384074999999996,-105.58834
Colorado > Denver South,39.367563089430895,-104.78454227642277
Colorado > Devil's Gulch and Dry Gulch Roads,40.432878888888894,-105.49823777777777
Colorado > Devil's Head,39.25967759036145,-105.10011795180722
Colorado > Devil's Thumb,38.81465,-108.08463
"Colorado > Diamond /Officer's Wall Massif, The",39.5377,-106.138155
Colorado > Diehard Cliff,39.12071,-106.71178
Colorado > Difficult Campground,39.127766666666666,-106.72491333333333
Colorado > Disappointment Valley Bouldering,38.037485000000004,-108.744205
Colorado > Divide Boulders,40.3592,-106.64059
Colorado > Dog Rocks,39.086875,-105.40501499999999
Colorado > Dolores Boulders,37.55031,-108.45779125
Colorado > Dolores River Canyon (Dove Creek),37.069674444444445,-108.94173
"Colorado > Dome, The",39.57073,-106.11763
Colorado > Dominguez Canyon Bouldering,38.83192,-108.38112000000001
Colorado > Downtown Carbondale,39.40061,-107.21245
Colorado > Downtown Denver,39.7526,-104.9991
Colorado > Dry Creek Crag,38.49840666666666,-108.05988333333333
Colorado > Dry Grotto,37.2675,-107.88
Colorado > Duck Wall,38.90072,-106.14491
Colorado > Durango,37.544915555555555,-107.61207777777777
Colorado > Dynamite Shacks,39.050570434782614,-108.60694260869565
Colorado > East  Animas,37.32016636363637,-107.83459909090908
Colorado > East Buttress,39.7603,-105.683
Colorado > East Elk Creek,39.646644736842106,-107.53176368421052
Colorado > East Face,39.21561,-106.84358
Colorado > East Fork Pinnacles,37.39011,-106.84418
Colorado > Echo Rock (AKA The Scoop),39.92925,-105.39779
Colorado > Ed Rock,38.89234,-104.90591
Colorado > Eldora,39.96012,-105.6057
Colorado > Eldora Summer Slab,39.94524,-105.54196
Colorado > Eldora Wall,39.9511,-105.6128
Colorado > Eldorado Canyon State Park,39.93210344827586,-105.28877160919541
Colorado > Eldorado Mountain,39.91123266666667,-105.286446
Colorado > Electric Hills Bouldering,38.415824375,-107.98497437500001
Colorado > Electric Wall,40.03182,-106.44994
Colorado > Elephant Butte,39.6334,-105.3714
Colorado > Elephant Rock,38.88463,-106.15182
Colorado > Elevenmile Canyon,38.9295415,-105.41239325
Colorado > Elevenmile Reservoir,38.967365,-105.50945166666668
Colorado > Elk Meadow Overhang,39.6515,-105.3661
Colorado > Elk River Boulders,40.49102,-106.80473
Colorado > Elkland,40.38412,-105.54502
Colorado > Engineer Pass Crag,38.0231,-107.672
"Colorado > Englemann Canyon (submitted as Ruxton Canyon, Manitou Springs)",38.85299,-104.936
Colorado > English Valley,37.77233,-106.40247
Colorado > Equinox Gardens,39.89707,-106.07775
Colorado > Escalante Canyon,38.685627272727274,-108.31867181818183
"Colorado > Escapist Boulder, The",39.2616,-106.0405
Colorado > Eureka area,37.88354666666667,-107.56324333333333
Colorado > Evergreen - Bear Creek ice,38.9936,-105.93
"Colorado > Extraterrestrial, The",39.63561,-105.1947
Colorado > Eyebrow,39.12007,-106.71163
Colorado > Falcon Block,39.94291,-105.34992
Colorado > Fall River Road (US 34 West),40.397121,-105.54515799999999
Colorado > Falls Creek Cliffs,37.3359,-107.8701
"Colorado > Falls Walls, The",37.920835999999994,-107.776676
"Colorado > Fin, The",39.7429,-105.44184
Colorado > Finback Crags,39.19943,-106.19054
Colorado > Fire and Blood Crag,37.26749,-107.0151
Colorado > Fireblack Boulder,39.53829,-105.16498
Colorado > Fish Creek Falls,40.49147,-106.77043
Colorado > Fish Creek Road/Hermit Park,40.39755,-105.51766
Colorado > Fish Hatchery Boulders,39.21597,-106.39934
Colorado > Flag Rock,37.60986,-106.70078
Colorado > Flagstaff,40.00210097222222,-105.29586222222223
Colorado > Flatirons,39.97538410138249,-105.2908058986175
Colorado > Flowsnake Rock,37.99915,-107.81637
Colorado > Forgotten Wall,38.88173,-106.14894
"Colorado > Forgotten Wall, The",37.96109,-107.82225
Colorado > Fort Lewis College,37.273432,-107.872284
Colorado > Fraggle Rock,39.50131,-106.37305
Colorado > Frasco's Toe,39.12916,-106.50559
Colorado > Friendship Boulders,40.343726000000004,-105.578044
Colorado > Frisco Boulders,39.57391,-106.11366
"Colorado > Frying Pan, The",39.374938,-106.896488
Colorado > Ft. Collins,40.52217,-105.1759
Colorado > Fume Wall,37.4580475,-107.8045625
Colorado > Garden of the Gods,38.87313166666667,-104.87550666666667
Colorado > Gate View Canyon,38.5448,-106.928
Colorado > Gateway/Naturita,38.9936,-105.93
"Colorado > Georgetown Buttress, The",39.7107,-105.695
Colorado > Georgetown Ice,38.9936,-105.93
Colorado > Gibraltar Rock,40.48875,-107.13827
Colorado > Gilman Canyon,39.508653333333335,-106.38073000000001
Colorado > Glenwood Canyon,39.57491690909091,-107.24371327272728
Colorado > Glenwood Canyon Ice,39.63177,-107.04823
Colorado > Glenwood Springs Buildering,39.5477,-107.32499
Colorado > Goat Rock,39.76791,-105.7502
Colorado > God's Crag,38.01244428571429,-107.44647857142857
Colorado > Gold Wall,38.1137,-108.1852
Colorado > Golden Gate Canyon SP,39.86785533333333,-105.42385333333333
Colorado > Golf Wall,37.51663666666666,-107.81563
Colorado > Goose Creek,39.37564,-105.2884
Colorado > Goose Creek/Molly Gulch Campground,39.199485517241385,-105.32772655172414
Colorado > Gore Mountain Range,39.741504545454546,-106.28341545454545
Colorado > Gore Range,39.61028,-106.1409
Colorado > Graffiti Falls,38.86986,-104.92552
Colorado > Grand Lake,40.2505,-105.8166
Colorado > Grand Mesa,38.996645,-108.173855
"Colorado > Granite Block, The",39.04041,-106.26336
"Colorado > Gravity Garden aka The Mushroom Garden, The",39.50154666666666,-106.37730666666668
"Colorado > Great Googly Moogly, The",39.14235,-105.30429
Colorado > Green Mountain Reservoir,39.87865,-106.32879
Colorado > Green Slab Block,39.94545,-105.34789
Colorado > Greystone Block,39.7107,-105.695
Colorado > Grizzly Park,40.77434,-107.32223
Colorado > Grizzly Peak,39.0425,-106.597
Colorado > Grotto Walls Area,39.1257425,-106.71051999999999
Colorado > Grottos Day Use Area,39.12023666666666,-106.70250333333333
Colorado > Guanella Pass,39.64403578947368,-105.70695631578947
Colorado > Halfway Rock,39.5388,-106.1364
"Colorado > Halidome, The",39.76679,-105.7298725
Colorado > Hamilton,37.9392,-107.8163
Colorado > Handies Peak Bouldering,37.93021,-107.51464
Colorado > Happy Meadows Campground Crag,39.01468,-105.36316
Colorado > Hardscrabble Pass,38.17532666666667,-105.17638
Colorado > Harrison Creek,40.34864,-106.75043
Colorado > Hartman Rocks,38.499268039215686,-106.9521631372549
Colorado > Haus Rock,39.60924,-105.91895
Colorado > Heil Valley Ranch,40.15236,-105.29759
Colorado > Hell's Gate/ Hagerman Pass,39.282705,-106.509885
Colorado > Hermosa,37.42965818181818,-107.83704818181818
Colorado > Hernando's Hideaway,39.12183,-106.71644
Colorado > Hidden Wall,39.30259,-106.24352
Colorado > High Drive Boulders,40.39755,-105.51766
Colorado > Hillside Drive in San Juan National Forest,37.544345,-108.12763000000001
Colorado > Hole in the Wall Canyon,40.78865714285714,-106.84026428571428
Colorado > Holy Cross Boulders,39.034982,-108.605201
Colorado > Holy Cross Wilderness,39.46693,-106.55373333333334
Colorado > Holy Cross/Notch Mountain,39.47327,-106.47048
Colorado > Holy Water Wall,38.81152,-106.34988
Colorado > Homestake Road Crag,39.47072,-106.37294
Colorado > Hoosier Pass/Lincoln Fall,39.35576,-106.0825
Colorado > Hornsilver,39.49026666666666,-106.36498333333334
Colorado > Horse Gulch Open Space,37.26675,-107.85001666666666
Colorado > Horsetooth Mountain,40.540150000000004,-105.19770999999999
Colorado > Horsetooth Reservoir,40.560117777777776,-105.1555086111111
Colorado > Hueco Wall,38.37425,-108.81315
Colorado > Hummingbird Boulders,39.6087525,-105.91761833333334
Colorado > Hummingbird Rock,38.04492,-104.80889
